jabatan,instansi,unit_kerja,formasi,khusus_atau_disabilitas,penghasilan_min,penghasilan_max,kebutuhan,verifikasi
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Jawa Tengah | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,52
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Banten | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,35
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Bengkulu | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,22
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Sulawesi Barat | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,10
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Sulawesi Tengah | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,5
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Kepulauan Riau | Subbagian Umum,CPNS Penyandang Disabilitas,Ya,4.5,7.5,1,1
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Kalimantan Tengah | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,7
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Karantina Indonesia,Badan Karantina Indonesia | BKHIT Nusa Tenggara Timur | Subbagian Umum,CPNS Umum,Ya,4.5,7.5,1,14
MANGGALA INFORMATIKA AHLI PERTAMA,Badan Kepegawaian Negara,Badan Kepegawaian Negara | Deputi Bidang Sistem Informasi Kepegawaian | Direktorat Infrastruktur Teknologi Informasi,CPNS Umum,Tidak,7.38,8.19,1,14
MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,CPNS Putra/putri Kalimantan,Ya,6.86,7.21,1,1
MANGGALA INFORMATIKA AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia,Badan Pelindungan Pekerja Migran Indonesia | PUSAT DATA DAN INFORMASI,CPNS Umum,Ya,6.86,7.21,4,10
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Badan Pengawasan Keuangan dan Pembangunan,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,CPNS Umum,Ya,10,11.5,20,1172
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,CPNS Lulusan Terbaik,Ya,2.79,6.1,2,1
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,CPNS Putra/putri Kalimantan,Ya,2.79,6.1,3,4
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,CPNS Putra/putri Kalimantan,Ya,2.79,6.1,2,0
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,CPNS Penyandang Disabilitas,Ya,2.79,6.1,1,0
PERENCANA AHLI PERTAMA,Kementerian Agama,IAHN GDE PUDJA MATARAM,CPNS Umum,Ya,2.79,6.1,2,12
PERENCANA AHLI PERTAMA,Kementerian Agama,IAKN AMBON,CPNS Umum,Ya,2.79,6.1,1,0
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT BUDDHA,CPNS Umum,Ya,2.79,6.1,1,1
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT HINDU,CPNS Putra/putri Kalimantan,Ya,2.79,6.1,5,1
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT HINDU,CPNS Lulusan Terbaik,Ya,2.79,6.1,1,0
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT BUDDHA,CPNS Putra/putri Kalimantan,Ya,2.79,6.1,1,0
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT BUDDHA,CPNS Penyandang Disabilitas,Ya,2.79,6.1,2,0
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KATOLIK,CPNS Umum,Ya,2.79,6.1,1,5
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT HINDU,CPNS Umum,Ya,2.79,6.1,1,2
PERENCANA AHLI PERTAMA,Kementerian Agama,KANWIL KEMENTERIAN AGAMA PROVINSI PAPUA,CPNS Putra/putri Papua Dan Papua Barat,Ya,2.79,6.1,2,2
PERENCANA AHLI PERTAMA,Kementerian Agama,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT KRISTEN,CPNS Umum,Ya,2.79,6.1,2,13
PERENCANA AHLI PERTAMA,Kementerian Agama,STAKATN PONTIANAK,CPNS Umum,Ya,2.79,6.1,1,9
PERENCANA AHLI PERTAMA,Kementerian Agama,IAKN TARUTUNG,CPNS Umum,Ya,2.79,6.1,1,17
PERENCANA AHLI PERTAMA,Kementerian Agama,KANWIL KEMENTERIAN AGAMA PROVINSI NUSA TENGGARA TIMUR,CPNS Umum,Ya,2.79,6.1,1,7
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Hukum dan Hak Asasi Manusia,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | UNIT PUSAT,CPNS Umum,Tidak,2.79,8.62,40,1219
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Hukum dan Hak Asasi Manusia,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,CPNS Umum,Tidak,2.79,8.62,55,3642
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Hukum dan Hak Asasi Manusia,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | UNIT PUSAT,CPNS Penyandang Disabilitas,Ya,2.79,8.62,7,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Hukum dan Hak Asasi Manusia,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | UNIT PUSAT,CPNS Putra/putri Kalimantan,Tidak,2.79,8.62,2,37
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Hukum dan Hak Asasi Manusia,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,CPNS Penyandang Disabilitas,Ya,2.79,8.62,11,9
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Kesehatan,"Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta | Direktorat Sumber Daya Manusia, Pendidikan, dan Penelitian",CPNS Penyandang Disabilitas,Ya,5.07,12.63,1,1
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Kesehatan,"Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta | Direktorat Sumber Daya Manusia, Pendidikan, dan Penelitian",CPNS Umum,Ya,5.07,12.63,3,55
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Kesehatan,"Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Otak DR. Drs. M. Hatta Bukittinggi | Direktorat Sumber Daya Manusia, Pendidikan dan Penelitian",CPNS Umum,Ya,2.79,6.4,1,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Kesehatan,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas II Bengkulu | Subbagian Administrasi Umum,CPNS Umum,Ya,5,8,1,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Kesehatan,Kementerian Kesehatan | Direktorat Jenderal Tenaga Kesehatan | Sekretariat Konsil Tenaga Kesehatan Indonesia | Subbagian Administrasi Umum,CPNS Umum,Ya,5,7,1,3
PERENCANA AHLI PERTAMA,Kementerian Kesehatan,Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas I Palembang | Subbagian Administrasi Umum,CPNS Umum,Ya,5,8,1,8
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Komunikasi dan Informatika,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA | BADAN PENELITIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA | BALAI PELATIHAN DAN PENGEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI | SUBBAGIAN UMUM,CPNS Umum,Tidak,6.5,7.2,2,90
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Komunikasi dan Informatika,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA | SEKRETARIAT JENDERAL | BIRO PERENCANAAN,CPNS Umum,Tidak,6.5,7.2,1,6
PERENCANA AHLI PERTAMA,Kementerian Komunikasi dan Informatika,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA | DIREKTORAT JENDERAL PENYELENGGARAAN POS DAN INFORMATIKA | DIREKTORAT PENGEMBANGAN PITALEBAR,CPNS Lulusan Terbaik,Tidak,6.5,7.2,1,17
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN SIARAN LUAR NEGERI,CPNS Penyandang Disabilitas,Ya,5,5.71,1,9
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI BANDUNG,CPNS Penyandang Disabilitas,Ya,5,5.71,1,3
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | DIREKTUR UTAMA LPP RRI | DIREKTORAT PROGRAM DAN PRODUKSI,CPNS Putra/putri Kalimantan,Ya,5,5.71,2,21
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI SORONG,CPNS Putra/putri Papua Dan Papua Barat,Ya,5,5.71,1,1
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI MAMUJU,CPNS Umum,Ya,5,5.71,3,94
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN SIARAN LUAR NEGERI,CPNS Umum,Ya,5,5.71,4,84
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI SORONG,CPNS Umum,Ya,5,5.71,2,3
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI SURAKARTA,CPNS Umum,Ya,5,5.71,2,66
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI BANDUNG,CPNS Umum,Ya,5,5.71,3,300
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | DIREKTUR UTAMA LPP RRI | DIREKTORAT PROGRAM DAN PRODUKSI,CPNS Umum,Ya,5,5.71,2,29
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI JAKARTA,CPNS Umum,Ya,5,5.71,1,51
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI MEDAN,CPNS Umum,Ya,5,5.71,3,146
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI BANTEN,CPNS Umum,Ya,5,5.71,4,73
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | DIREKTUR UTAMA LPP RRI | PUSAT PEMBERITAAN,CPNS Umum,Ya,5,5.71,11,729
PRANATA SIARAN AHLI PERTAMA,Kementerian Komunikasi dan Informatika,LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA | STASIUN PENYIARAN LPP RRI PALEMBANG,CPNS Umum,Ya,5,5.71,2,60
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Koperasi dan Usaha Kecil dan Menengah,Kementerian Koperasi dan Usaha Kecil dan Menengah | Deputi Bidang Kewirausahaan | Asisten Deputi Pembiayaan Wirausaha dan Pengelolaan Jabatan Fungsional Pengembang Kewirausahaan,CPNS Umum,Tidak,6.64,9.71,1,29
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Koperasi dan Usaha Kecil dan Menengah,"Kementerian Koperasi dan Usaha Kecil dan Menengah | SEKRETARIAT KEMENTERIAN KOPERASI DAN USAHA KECIL DAN MENENGAH | Biro Manajemen Kinerja, Organisasi, dan Sumber Daya Manusia Aparatur",CPNS Umum,Tidak,7.06,8.34,5,363
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,"KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Pengelolaan Hutan Lestari | Sekretariat Direktorat Jenderal Pengelolaan Hutan Lestari | Bagian Keuangan, Kepegawaian, Organisasi dan Tata Laksana",CPNS Putra/putri Kalimantan,Tidak,6,8,1,14
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Besar Taman Nasional Kerinci Seblat | Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,10
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Bunaken | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Pengelolaan Daerah Aliran Sungai dan Rehabilitasi Hutan | Balai Pengelolaan Daerah Aliran Sungai Bone Bolango | Sub Bagian Tata Usaha,CPNS Lulusan Terbaik,Tidak,6,8,1,0
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Meru Betiri | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,5
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Bali Barat | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,10
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,"KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Sekretariat Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Bagian Keuangan, Kepegawaian, Organisasi dan Tata Laksana",CPNS Umum,Tidak,6,8,1,8
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Konservasi Sumber Daya Alam Sulawesi Tenggara | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,2
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Perhutanan Sosial dan Kemitraan Lingkungan | Balai Perhutanan Sosial dan Kemitraan Lingkungan Wilayah Jawa | Sub Bagian Tata Usaha,CPNS Lulusan Terbaik,Tidak,6,8,1,7
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Konservasi Sumber Daya Alam Sulawesi Tengah | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,2
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Besar Konservasi Sumber Daya Alam Papua Barat | Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,2
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Besar Taman Nasional Betung Kerihun dan Danau Sentarum | Bagian Tata Usaha,CPNS Umum,Tidak,6,8,2,1
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Konservasi Sumber Daya Alam Jawa Tengah | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,2,52
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Badan Standardisasi Instrumen Lingkungan Hidup dan Kehutanan | Balai Penerapan Standar Instrumen Lingkungan Hidup dan Kehutanan Mataram | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,7
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Besar Taman Nasional Bromo Tengger Semeru | Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,33
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Direktorat Pengelolaan Kawasan Konservasi | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,5
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Gunung Merapi | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,43
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Manupeu Tanah Daru dan Laiwangi Wanggameti | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,4
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Aketajawe - Lolobata | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan | Direktorat Pencegahan Dampak Lingkungan Usaha dan Kegiatan | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,2,27
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,"KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Pengelolaan Hutan Lestari | Sekretariat Direktorat Jenderal Pengelolaan Hutan Lestari | Bagian Keuangan, Kepegawaian, Organisasi dan Tata Laksana",CPNS Umum,Tidak,6,8,1,3
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Konservasi Sumber Daya Alam dan Ekosistem | Balai Taman Nasional Bukit Tigapuluh | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,5
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Lingkungan Hidup dan Kehutanan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Pusat Data dan Informasi | Sub Bagian Tata Usaha,CPNS Umum,Tidak,6,8,1,10
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Sekretariat Direktorat Jenderal Perumahan | Bagian Kepegawaian dan Umum,CPNS Putra/putri Kalimantan,Ya,9.7,10.3,1,9
ANALIS SUMBER DAYA MANUSIA APARATUR AHLI PERTAMA,Kementerian Pekerjaan Umum dan Perumahan Rakyat,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Cipta Karya | Sekretariat Direktorat Jenderal Cipta Karya | Bagian Kepegawaian dan Umum,CPNS Penyandang Disabilitas,Ya,9.7,10.3,1,1
